Episode,NumGreen,NumYellow,NumRed,NumWaste,WasteLeft,DisposedWaste,TotalReward,AvgActorLoss,AvgCriticLoss,AvgEntropy
256,1,1,1,8.9,0,0,93.94,-0.0149,3.7685,1.4736
257,1,1,1,11.2,0,0,93.12,-0.0148,3.5696,1.4762
258,1,1,1,10.6,0,0,94.49,-0.0148,3.5696,1.4762
259,1,1,1,11.6,0,0,89.68,-0.0148,3.5696,1.4762
260,1,1,1,9.8,0,0,93.02,-0.0151,3.7268,1.4822
261,1,1,1,8.2,0,0,107.89,-0.0151,3.7268,1.4822
262,1,1,1,8.4,0,0,91.70,-0.0151,3.7268,1.4822
263,1,1,1,9.9,0,0,98.54,-0.0149,3.8614,1.4784
264,1,1,1,10.5,0,0,93.50,-0.0149,3.8614,1.4784
265,1,1,1,10.8,0,0,94.53,-0.0149,3.8614,1.4784
266,1,1,1,10.2,0,0,99.11,-0.0148,3.7557,1.4777
267,1,1,1,8.4,0,0,92.21,-0.0148,3.7557,1.4777
268,1,1,1,8.9,0,0,93.12,-0.0148,3.7557,1.4777
269,1,1,1,9.0,0,0,91.54,-0.0147,3.2299,1.4604
270,1,1,1,9.0,0,0,93.31,-0.0147,3.2299,1.4604
271,1,1,1,11.0,0,0,94.08,-0.0147,3.2299,1.4604
272,1,1,1,10.1,0,0,93.51,-0.0149,2.7821,1.4631
273,1,1,1,12.1,0,0,92.41,-0.0149,2.7821,1.4631
274,1,1,1,9.0,0,0,93.80,-0.0149,2.7821,1.4631
275,1,1,1,8.4,0,0,91.51,-0.0147,3.2218,1.4600
276,1,1,1,8.1,0,0,92.40,-0.0147,3.2218,1.4600
277,1,1,1,8.9,0,0,97.23,-0.0147,3.2218,1.4600
278,1,1,1,10.2,0,0,93.65,-0.0146,3.6637,1.4510
279,1,1,1,10.2,0,0,93.57,-0.0146,3.6637,1.4510
280,1,1,1,9.4,0,0,93.33,-0.0146,3.6637,1.4510
281,1,1,1,7.6,0,0,97.34,-0.0146,3.3598,1.4530
282,1,1,1,11.2,0,0,99.33,-0.0146,3.3598,1.4530
283,1,1,1,8.1,0,0,91.27,-0.0146,3.3598,1.4530
284,1,1,1,10.0,0,0,98.71,-0.0146,3.2838,1.4499
285,1,1,1,8.6,0,0,98.02,-0.0146,3.2838,1.4499
286,1,1,1,10.5,0,0,92.83,-0.0146,3.2838,1.4499
287,1,1,1,11.6,0,0,99.84,-0.0146,3.2675,1.4515
288,1,1,1,9.9,0,0,92.84,-0.0146,3.2675,1.4515
289,1,1,1,12.1,0,0,94.66,-0.0146,3.2675,1.4515
290,1,1,1,10.0,0,0,109.87,-0.0147,2.6116,1.4632
291,1,1,1,12.0,0,0,99.48,-0.0147,2.6116,1.4632
292,1,1,1,8.5,0,0,102.32,-0.0147,2.6116,1.4632
293,1,1,1,12.0,0,0,99.83,-0.0148,3.5190,1.4695
294,1,1,1,8.0,0,0,119.16,-0.0148,3.5190,1.4695
295,1,1,1,10.5,0,0,109.06,-0.0148,3.5190,1.4695
296,1,1,1,7.4,0,0,97.39,-0.0147,3.5948,1.4676
297,1,1,1,10.8,0,0,106.72,-0.0147,3.5948,1.4676
298,1,1,1,8.8,0,0,103.83,-0.0147,3.5948,1.4676
299,1,1,1,9.8,0,0,104.06,-0.0148,3.7061,1.4662
300,1,1,1,9.6,0,0,108.99,-0.0148,3.7061,1.4662
301,1,1,1,10.1,0,0,99.30,-0.0148,3.7061,1.4662
302,1,1,1,10.8,0,0,106.22,-0.0147,3.6823,1.4642
303,1,1,1,10.0,0,0,98.71,-0.0147,3.6823,1.4642
304,1,1,1,11.0,0,0,109.38,-0.0147,3.6823,1.4642
305,1,1,1,7.8,0,0,97.08,-0.0147,3.3308,1.4610
306,1,1,1,9.9,0,0,103.60,-0.0147,3.3308,1.4610
307,1,1,1,10.5,0,0,99.58,-0.0147,3.3308,1.4610
308,1,1,1,9.8,0,0,93.75,-0.0147,2.7744,1.4600
309,1,1,1,11.1,0,0,94.73,-0.0147,2.7744,1.4600
310,1,1,1,9.6,0,0,98.43,-0.0147,2.7744,1.4600
311,1,1,1,10.8,0,0,92.78,-0.0146,2.6013,1.4527
312,1,1,1,10.6,0,0,94.60,-0.0146,2.6013,1.4527
313,1,1,1,9.2,0,0,97.93,-0.0146,2.6013,1.4527
314,1,1,1,10.1,0,0,93.81,-0.0146,2.5338,1.4502
315,1,1,1,10.2,0,0,104.82,-0.0146,2.5338,1.4502
316,1,1,1,10.8,0,0,98.37,-0.0146,2.5338,1.4502
317,1,1,1,9.9,0,0,98.83,-0.0145,2.7022,1.4341
318,1,1,1,10.0,0,0,103.35,-0.0145,2.7022,1.4341
319,1,1,1,9.9,0,0,105.17,-0.0145,2.7022,1.4341
320,1,1,1,10.8,0,0,93.62,-0.0145,2.5361,1.4289
321,1,1,1,10.4,0,0,103.74,-0.0145,2.5361,1.4289
322,1,1,1,9.6,0,0,97.91,-0.0145,2.5361,1.4289
323,1,1,1,12.1,0,0,105.43,-0.0145,2.6983,1.4337
324,1,1,1,9.9,0,0,131.20,-0.0145,2.6983,1.4337
325,1,1,1,9.4,0,0,146.35,-0.0145,2.6983,1.4337
325,1,1,1,9.2,0,0,114.77,nan,nan,nan
326,1,1,1,10.6,0,0,111.05,-0.0146,4.7971,1.4335
327,1,1,1,10.1,0,0,131.02,-0.0146,4.7971,1.4335
328,1,1,1,10.5,0,0,136.67,-0.0146,4.7971,1.4335
329,1,1,1,9.2,0,0,131.84,-0.0147,5.3095,1.4447
330,1,1,1,9.4,0,0,128.66,-0.0147,5.3095,1.4447
331,1,1,1,9.0,0,0,131.87,-0.0147,5.3095,1.4447
332,1,1,1,9.6,0,0,134.32,-0.0147,5.3672,1.4483
333,1,1,1,11.1,0,0,125.59,-0.0147,5.3672,1.4483
334,1,1,1,8.4,0,0,114.29,-0.0147,5.3672,1.4483
335,1,1,1,10.5,0,0,108.03,-0.0146,4.2859,1.4455
336,1,1,1,9.6,0,0,121.00,-0.0146,4.2859,1.4455
337,1,1,1,8.6,0,0,117.02,-0.0146,4.2859,1.4455
338,1,1,1,9.5,0,0,120.42,-0.0144,3.4994,1.4264
339,1,1,1,9.2,0,0,128.63,-0.0144,3.4994,1.4264
340,1,1,1,10.8,0,0,123.12,-0.0144,3.4994,1.4264
341,1,1,1,9.6,0,0,119.65,-0.0145,4.2484,1.4308
342,1,1,1,9.4,0,0,136.22,-0.0145,4.2484,1.4308
343,1,1,1,10.8,0,0,126.53,-0.0145,4.2484,1.4308
344,1,1,1,7.6,0,0,139.57,-0.0144,4.9355,1.4211
345,1,1,1,10.5,0,0,141.21,-0.0144,4.9355,1.4211
346,1,1,1,8.6,0,0,152.04,-0.0144,4.9355,1.4211
347,1,1,1,11.5,0,0,172.86,-0.0144,6.8196,1.4273
348,1,1,1,10.2,0,0,125.49,-0.0144,6.8196,1.4273
